company,year,quarter,metric,sub-metric,value
TSMC,2009,3,rev_tech,40/45nm,4
TSMC,2009,3,rev_tech,65nm,31
TSMC,2009,3,rev_tech,90nm,18
TSMC,2009,3,rev_tech,0.11/0.13um,14
TSMC,2009,3,rev_tech,0.15/0.18um,21
TSMC,2009,3,rev_tech,0.25/0.35um,9
TSMC,2009,3,rev_tech,0.50um+,3
TSMC,2009,4,rev_geo,NORAM,71
TSMC,2009,4,rev_geo,China,3
TSMC,2009,4,rev_geo,EMEA,10
TSMC,2009,4,rev_geo,ASIAPAC,13
TSMC,2009,4,rev_geo,Japan,3
TSMC,2009,4,rev_tech,40/45nm,9
TSMC,2009,4,rev_tech,65nm,30
TSMC,2009,4,rev_tech,90nm,16
TSMC,2009,4,rev_tech,0.11/0.13um,15
TSMC,2009,4,rev_tech,0.15/0.18um,18
TSMC,2009,4,rev_tech,0.25/0.35um,9
TSMC,2009,4,rev_tech,0.50um+,3
TSMC,2010,1,rev_geo,NORAM,68
TSMC,2010,1,rev_geo,China,2
TSMC,2010,1,rev_geo,EMEA,11
TSMC,2010,1,rev_geo,ASIAPAC,15
TSMC,2010,1,rev_geo,Japan,4
TSMC,2010,1,rev_tech,40/45nm,14
TSMC,2010,1,rev_tech,65nm,27
TSMC,2010,1,rev_tech,90nm,17
TSMC,2010,1,rev_tech,0.11/0.13um,13
TSMC,2010,1,rev_tech,0.15/0.18um,18
TSMC,2010,1,rev_tech,0.25/0.35um,8
TSMC,2010,1,rev_tech,0.50um+,3
TSMC,2010,2,rev_geo,NORAM,66
TSMC,2010,2,rev_geo,China,3
TSMC,2010,2,rev_geo,EMEA,11
TSMC,2010,2,rev_geo,ASIAPAC,15
TSMC,2010,2,rev_geo,Japan,5
TSMC,2010,2,rev_tech,40/45nm,16
TSMC,2010,2,rev_tech,65nm,27
TSMC,2010,2,rev_tech,90nm,16
TSMC,2010,2,rev_tech,0.11/0.13um,13
TSMC,2010,2,rev_tech,0.15/0.18um,17
TSMC,2010,2,rev_tech,0.25/0.35um,8
TSMC,2010,2,rev_tech,0.50um+,3
TSMC,2010,3,rev_geo,NORAM,67
TSMC,2010,3,rev_geo,China,3
TSMC,2010,3,rev_geo,EMEA,11
TSMC,2010,3,rev_geo,ASIAPAC,15
TSMC,2010,3,rev_geo,Japan,4
TSMC,2010,3,rev_tech,40/45nm,17
TSMC,2010,3,rev_tech,65nm,29
TSMC,2010,3,rev_tech,90nm,14
TSMC,2010,3,rev_tech,0.11/0.13um,12
TSMC,2010,3,rev_tech,0.15/0.18um,17
TSMC,2010,3,rev_tech,0.25/0.35um,8
TSMC,2010,3,rev_tech,0.50um+,3
TSMC,2010,4,rev_geo,NORAM,70
TSMC,2010,4,rev_geo,China,3
TSMC,2010,4,rev_geo,EMEA,10
TSMC,2010,4,rev_geo,ASIAPAC,13
TSMC,2010,4,rev_geo,Japan,4
TSMC,2010,4,rev_tech,40/45nm,21
TSMC,2010,4,rev_tech,65nm,31
TSMC,2010,4,rev_tech,90nm,11
TSMC,2010,4,rev_tech,0.11/0.13um,10
TSMC,2010,4,rev_tech,0.15/0.18um,17
TSMC,2010,4,rev_tech,0.25/0.35um,7
TSMC,2010,4,rev_tech,0.50um+,3
TSMC,2011,1,rev_geo,NORAM,69
TSMC,2011,1,rev_geo,China,3
TSMC,2011,1,rev_geo,EMEA,10
TSMC,2011,1,rev_geo,ASIAPAC,14
TSMC,2011,1,rev_geo,Japan,4
TSMC,2011,1,rev_tech,40/45nm,22
TSMC,2011,1,rev_tech,65nm,32
TSMC,2011,1,rev_tech,90nm,10
TSMC,2011,1,rev_tech,0.11/0.13um,9
TSMC,2011,1,rev_tech,0.15/0.18um,17
TSMC,2011,1,rev_tech,0.25/0.35um,7
TSMC,2011,1,rev_tech,0.50um+,3
TSMC,2011,2,rev_geo,NORAM,70
TSMC,2011,2,rev_geo,China,4
TSMC,2011,2,rev_geo,EMEA,8
TSMC,2011,2,rev_geo,ASIAPAC,14
TSMC,2011,2,rev_geo,Japan,4
TSMC,2011,2,rev_seg,Computer,25
TSMC,2011,2,rev_seg,Communication,45
TSMC,2011,2,rev_seg,Consumer,11
TSMC,2011,2,rev_seg,Industrial/Standard,19
TSMC,2011,2,rev_tech,40/45nm,26
TSMC,2011,2,rev_tech,65nm,29
TSMC,2011,2,rev_tech,90nm,9
TSMC,2011,2,rev_tech,0.11/0.13um,8
TSMC,2011,2,rev_tech,0.15/0.18um,18
TSMC,2011,2,rev_tech,0.25/0.35um,8
TSMC,2011,2,rev_tech,0.50um+,2
TSMC,2011,3,rev_geo,NORAM,70
TSMC,2011,3,rev_geo,China,3
TSMC,2011,3,rev_geo,EMEA,9
TSMC,2011,3,rev_geo,ASIAPAC,14
TSMC,2011,3,rev_geo,Japan,4
TSMC,2011,3,rev_seg,Computer,21
TSMC,2011,3,rev_seg,Communication,48
TSMC,2011,3,rev_seg,Consumer,10
TSMC,2011,3,rev_seg,Industrial/Standard,21
TSMC,2011,1,rev_seg,Computer,23
TSMC,2011,1,rev_seg,Communication,48
TSMC,2011,1,rev_seg,Consumer,11
TSMC,2011,1,rev_seg,Industrial/Standard,18
TSMC,2010,1,rev_seg,Computer,32
TSMC,2010,1,rev_seg,Communication,39
TSMC,2010,1,rev_seg,Consumer,14
